5.567870370246690293e-01 1.927231367827480779e-01 9.722265372441561970e-01 6.346968712098515208e-01
4.803535810611664347e-01 5.536517257965837269e-01 4.339220876474740307e-01 1.670067216492963080e-01
6.163158342710030047e-01 7.718481369742232756e-01 9.918912522960448008e-01 6.484840896170853686e-01
4.214758821526093935e-01 5.216859844179770889e-01 3.221190422315475255e-01 2.752413369155725098e-01
7.791901719078115907e-01 9.817554357456701464e-01 1.971797013392219133e-01 2.526441770798063535e-01
5.634244433542656694e-01 1.788997417513761568e-01 8.088264074669330173e-01 9.976930787172533233e-01
5.066195274040729002e-01 8.088504606487757487e-01 7.513575710345803405e-01 9.168705813051306608e-01
3.761362223102461266e-01 5.054235950304318825e-01 5.461463115776350463e-01 3.698798289570420228e-01
1.401838441654838091e-02 2.740848936170292571e-01 2.854121315753506138e-01 8.015103924184407980e-01
8.141983857652973500e-01 3.354405717162307621e-01 9.371665485215495695e-01 5.109200961778822547e-01
9.259361842577630286e-01 5.617186834591660904e-01 3.761098434968676019e-01 9.069512978729831199e-01
6.856539826600552279e-02 7.045177727880979068e-01 9.667457775911507678e-01 4.414296032406206383e-02
8.338270735414975432e-01 3.470837995868427117e-01 1.783542204245917584e-01 3.780839715697121850e-01
5.639777437364337787e-02 9.426266400345999497e-01 3.638619019859500869e-01 5.060135006040471506e-01
1.868030133684935867e-01 3.767450182306005813e-01 5.056913089022355701e-01 3.341914010505210308e-01
6.451150466248867232e-01 9.198181232286484904e-03 7.694283264366283959e-01 8.821181883112769739e-01
8.812726526777440172e-01 8.460527890232813486e-02 3.075082924042928934e-01 1.164042325206411793e-01
9.034638671413901534e-01 9.280322714731989997e-01 6.775233946079105563e-01 7.835541633358661384e-02
9.982340414298723763e-01 9.771041712607126950e-01 3.261885722689093769e-02 6.219935721115600336e-01
8.975940935947098742e-01 2.521538629308059942e-01 8.115860667495389258e-02 8.331058290564510305e-01
3.644450942991370179e-01 2.269314497167891909e-01 8.682677967678714692e-01 5.763727709824690848e-01
